City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,whitehorse,CA,1731395431,60.7161,-135.0538,-3.83,97,100,0.54
1,puerto natales,CL,1731396016,-51.7236,-72.4875,6.49,94,86,3.49
2,langtang,NG,1731396016,9.1333,9.7833,26.32,32,88,3.24
3,udachny,RU,1731396016,66.4167,112.4,-17.58,98,100,1.91
4,koysinceq,IQ,1731396016,36.0821,44.6278,18.63,60,100,0.51
5,iqaluit,CA,1731396017,63.7506,-68.5145,-10.15,73,20,5.14
6,vanimo,PG,1731396017,-2.6741,141.3028,28.64,75,100,2.72
7,ballarat east,AU,1731396017,-37.5592,143.8744,13.15,98,100,2.81
8,atafu village,TK,1731396017,-8.5421,-172.5159,28.87,72,83,5.4
9,bethel,US,1731396017,41.3712,-73.414,12.34,66,0,1.79
10,novo aripuana,BR,1731396018,-5.1206,-60.3797,23.49,89,100,1.08
11,mili,MH,1731396018,6.0815,171.735,28.26,75,100,4.06
12,st. john's,CA,1731396018,47.5649,-52.7093,8.97,92,100,10.29
13,stanley,GB,1731396018,54.868,-1.6985,3.62,95,0,1.03
14,hawaiian paradise park,US,1731396018,19.5933,-154.9731,21.73,97,100,3.09
15,san antonio de pale,GQ,1731396019,-1.4014,5.6325,26.27,83,78,6.51
16,jamestown,US,1731396019,42.097,-79.2353,6.8,92,100,4.63
17,srivardhan,IN,1731396019,18.0333,73.0167,31.23,46,10,1.01
18,constantia,RO,1731396020,44.1833,28.65,6.5,74,100,6.9
19,ebon,MH,1731396020,4.582,168.6964,28.66,75,19,5.33
20,nianzishan,CN,1731396021,47.5167,122.8833,3.68,26,7,1.36
21,westport,US,1731396021,41.1415,-73.3579,12.93,67,20,5.36
22,batticaloa,LK,1731396021,7.7102,81.6924,30.18,68,37,2.45
23,tazovsky,RU,1731396021,67.4667,78.7,-23.49,94,29,5.58
24,kem',RU,1731396021,64.9555,34.5793,-1.22,93,89,3.0
25,port-aux-francais,TF,1731396022,-49.35,70.2167,4.99,94,100,10.85
26,college,US,1731396022,64.8569,-147.8028,-16.17,81,0,0.0
27,tiksi,RU,1731396022,71.6872,128.8694,-21.34,100,99,1.63
28,richards bay,ZA,1731396022,-28.783,32.0377,21.61,79,100,2.3
